index,Year,Player,Tm,Age,G,GS,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,eFG%,3P%,2P%,FT%,WS/48,OBPM,DBPM,BPM,VORP,PTS_per_game,AST_per_game,TRB_per_game,STL_per_game,BLK_per_game,TOV_per_game,Position,nba_team
77,1989,Vern Fleming,IND,26.0,76.0,69.0,33.579,15.8,0.572,0.028,0.373,3.9,9.2,6.7,28.1,1.5,0.3,16.8,18.7,0.517,0.13,0.526,0.799,0.106,1.7,-0.8,0.8,1.8,14.263,6.5,4.079,1.013,0.158,2.526,G,None
78,1989,Sleepy Floyd,HOU,28.0,82.0,82.0,34.0,16.4,0.565,0.327,0.346,1.9,9.9,5.9,35.5,2.1,0.2,19.7,18.5,0.504,0.373,0.478,0.845,0.133,2.3,-0.7,1.5,2.5,14.171,8.646,3.732,1.512,0.134,3.085,G,None
79,1989,Winston Garland,GSW,24.0,79.0,79.0,33.684,14.7,0.483,0.04,0.234,3.8,8.5,6.2,24.9,2.9,0.3,13.6,19.5,0.439,0.233,0.442,0.809,0.082,0.0,0.1,0.0,1.4,14.494,6.392,4.152,2.215,0.177,2.367,G,None
80,1989,Tom Garrick,LAC,22.0,71.0,20.0,21.113,11.0,0.547,0.036,0.354,2.6,8.5,5.6,21.0,2.4,0.3,21.9,14.0,0.49,0.0,0.509,0.803,0.044,-2.4,-0.7,-3.1,-0.4,6.394,3.423,2.197,1.099,0.127,1.634,G,None
81,1989,Armen Gilliam,PHO,24.0,74.0,60.0,28.649,15.7,0.548,0.0,0.347,8.7,18.1,13.6,3.4,1.2,0.7,11.6,22.7,0.503,,0.503,0.743,0.115,-0.9,-1.2,-2.1,-0.1,15.892,0.703,7.311,0.73,0.365,1.892,F,None
82,1989,Mike Gminski,PHI,29.0,82.0,82.0,33.402,18.5,0.535,0.005,0.292,8.7,22.9,15.7,7.4,0.8,2.3,8.9,21.9,0.477,0.0,0.479,0.871,0.122,0.2,-0.4,-0.2,1.2,17.183,1.683,9.378,0.561,1.293,1.573,C,None
83,1989,Gary Grant,LAC,23.0,71.0,48.0,27.099,14.1,0.469,0.027,0.195,4.5,8.8,6.6,37.6,3.4,0.3,22.3,23.8,0.438,0.227,0.441,0.735,-0.009,-1.4,-0.6,-2.1,0.0,11.915,7.127,3.352,2.028,0.127,3.634,G,None
84,1989,Harvey Grant,WSB,23.0,71.0,1.0,16.803,10.6,0.477,0.003,0.146,6.6,8.4,7.5,9.0,1.4,1.4,6.3,14.9,0.464,0.0,0.465,0.596,0.07,-1.6,-0.1,-1.7,0.1,5.577,1.113,2.296,0.493,0.408,0.394,F,None
85,1989,Horace Grant,CHI,23.0,79.0,79.0,35.557,13.8,0.547,0.006,0.255,10.2,17.6,14.0,8.2,1.5,1.3,12.8,15.2,0.519,0.0,0.522,0.704,0.11,-0.2,1.3,1.1,2.2,12.025,2.127,8.62,1.089,0.785,1.62,F,None
86,1989,Sylvester Gray,MIA,21.0,55.0,15.0,22.182,11.2,0.471,0.01,0.392,10.4,16.2,13.2,14.2,1.4,1.3,17.9,18.9,0.421,0.25,0.421,0.673,0.028,-2.6,0.5,-2.1,0.0,8.0,2.127,5.2,0.655,0.455,1.855,F,None
