Year,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,is_mvp
1989.0,Ricky Pierce,29.0,MIL,75.0,2078.0,1317.0,197.0,156.0,77.0,19.0,0.518,0.222,0.859,6.7,0.155,False
1989.0,Ed Pinckney,25.0,TOT,80.0,2012.0,918.0,449.0,118.0,83.0,66.0,0.513,0.0,0.8,6.1,0.145,False
1989.0,Ed Pinckney,25.0,SAC,51.0,1334.0,625.0,301.0,74.0,54.0,43.0,0.502,0.0,0.801,3.6,0.13,False
1989.0,Scottie Pippen,23.0,CHI,73.0,2413.0,1048.0,445.0,256.0,139.0,61.0,0.476,0.273,0.668,4.0,0.08,False
1989.0,Terry Porter,25.0,POR,81.0,3102.0,1431.0,367.0,770.0,146.0,8.0,0.471,0.361,0.84,9.2,0.142,False
1989.0,Paul Pressey,30.0,MIL,67.0,2170.0,813.0,262.0,439.0,119.0,44.0,0.474,0.218,0.776,4.8,0.105,False
1989.0,Harold Pressley,25.0,SAC,80.0,2257.0,981.0,485.0,174.0,93.0,76.0,0.439,0.403,0.78,4.8,0.102,False
1989.0,Mark Price,24.0,CLE,75.0,2728.0,1414.0,226.0,631.0,115.0,7.0,0.526,0.441,0.901,11.3,0.199,False
1989.0,Kurt Rambis,30.0,CHH,75.0,2233.0,832.0,703.0,159.0,100.0,57.0,0.518,0.0,0.734,4.8,0.104,False
1989.0,Robert Reid,33.0,CHH,82.0,2152.0,1207.0,302.0,153.0,53.0,20.0,0.428,0.327,0.776,-0.1,-0.002,False
1989.0,Mitch Richmond,23.0,GSW,79.0,2717.0,1741.0,468.0,334.0,82.0,13.0,0.468,0.367,0.81,5.6,0.098,False
1989.0,Doc Rivers,27.0,ATL,76.0,2462.0,1032.0,286.0,525.0,181.0,40.0,0.455,0.347,0.861,8.5,0.167,False
1989.0,Alvin Robertson,26.0,SAS,65.0,2287.0,1122.0,384.0,393.0,197.0,36.0,0.483,0.2,0.723,4.4,0.093,False
1989.0,Cliff Robinson,28.0,PHI,14.0,416.0,212.0,75.0,32.0,17.0,2.0,0.481,0.0,0.727,0.3,0.033,False
1989.0,Dennis Rodman,27.0,DET,82.0,2208.0,735.0,772.0,99.0,55.0,76.0,0.595,0.231,0.626,8.1,0.175,False
1989.0,John Salley,24.0,DET,67.0,1458.0,467.0,335.0,75.0,40.0,72.0,0.498,0.0,0.692,3.5,0.115,False
1989.0,Mike Sanders,28.0,CLE,82.0,2102.0,764.0,307.0,133.0,89.0,32.0,0.453,0.3,0.719,3.1,0.071,False
1989.0,Danny Schayes,29.0,DEN,76.0,1918.0,969.0,500.0,105.0,42.0,81.0,0.522,0.333,0.826,5.6,0.141,False
1989.0,Detlef Schrempf,26.0,TOT,69.0,1850.0,828.0,395.0,179.0,53.0,19.0,0.474,0.2,0.78,4.4,0.113,False
1989.0,Detlef Schrempf,26.0,DAL,37.0,845.0,353.0,166.0,86.0,24.0,9.0,0.426,0.125,0.789,1.7,0.098,False
1989.0,Detlef Schrempf,26.0,IND,32.0,1005.0,475.0,229.0,93.0,29.0,10.0,0.514,0.263,0.772,2.6,0.125,False
1989.0,Byron Scott,27.0,LAL,74.0,2605.0,1448.0,302.0,231.0,114.0,27.0,0.491,0.399,0.863,6.8,0.125,False
1989.0,Rony Seikaly,23.0,MIA,78.0,1962.0,848.0,549.0,55.0,46.0,96.0,0.448,0.25,0.511,-0.5,-0.012,False
1989.0,Brad Sellers,26.0,CHI,80.0,1732.0,551.0,227.0,99.0,35.0,69.0,0.485,0.5,0.851,2.6,0.073,False
1989.0,Brian Shaw,22.0,BOS,82.0,2301.0,703.0,376.0,472.0,78.0,27.0,0.433,0.0,0.826,2.2,0.046,False
1989.0,Jack Sikma,33.0,MIL,80.0,2587.0,1068.0,623.0,289.0,85.0,61.0,0.431,0.38,0.905,8.1,0.151,False
1989.0,Charles Smith,23.0,LAC,71.0,2161.0,1155.0,465.0,103.0,68.0,89.0,0.495,0.0,0.725,4.0,0.089,False
1989.0,Derek Smith,27.0,SAC,29.0,600.0,289.0,81.0,60.0,19.0,8.0,0.402,0.2,0.674,0.0,-0.002,False
1989.0,Kenny Smith,23.0,SAC,81.0,3145.0,1403.0,226.0,621.0,102.0,7.0,0.462,0.359,0.737,4.1,0.062,False
1989.0,Rik Smits,22.0,IND,82.0,2041.0,956.0,500.0,70.0,37.0,151.0,0.517,0.0,0.722,4.3,0.101,False
1989.0,Rory Sparrow,30.0,MIA,80.0,2613.0,1000.0,216.0,429.0,103.0,17.0,0.452,0.243,0.879,1.6,0.029,False
1989.0,John Stockton,26.0,UTA,82.0,3171.0,1400.0,248.0,1118.0,263.0,14.0,0.538,0.242,0.863,15.6,0.236,False
1989.0,Roy Tarpley,24.0,DAL,19.0,591.0,328.0,218.0,17.0,28.0,30.0,0.541,0.0,0.688,2.0,0.166,False
1989.0,Terry Teagle,28.0,GSW,66.0,1569.0,1002.0,263.0,96.0,79.0,17.0,0.476,0.167,0.809,3.1,0.095,False
1989.0,Reggie Theus,31.0,ATL,82.0,2517.0,1296.0,242.0,387.0,108.0,16.0,0.466,0.293,0.851,5.9,0.113,False
1989.0,Isiah Thomas,27.0,DET,80.0,2924.0,1458.0,273.0,663.0,133.0,20.0,0.464,0.273,0.818,7.0,0.115,False
1989.0,Billy Thompson,25.0,MIA,79.0,2273.0,854.0,572.0,176.0,56.0,105.0,0.487,0.0,0.696,2.8,0.06,False
1989.0,LaSalle Thompson,27.0,TOT,76.0,2329.0,1059.0,718.0,81.0,79.0,94.0,0.489,0.0,0.808,4.4,0.09,False
1989.0,LaSalle Thompson,27.0,SAC,43.0,1276.0,646.0,392.0,44.0,46.0,55.0,0.461,0.0,0.809,1.7,0.065,False
1989.0,Mychal Thompson,34.0,LAL,80.0,1994.0,738.0,467.0,48.0,58.0,59.0,0.559,0.0,0.678,5.2,0.126,False
1989.0,Otis Thorpe,26.0,HOU,82.0,3135.0,1370.0,787.0,202.0,82.0,37.0,0.542,0.0,0.729,8.7,0.133,False
1989.0,Wayman Tisdale,24.0,TOT,79.0,2434.0,1381.0,609.0,128.0,55.0,52.0,0.514,0.0,0.773,5.9,0.117,False
1989.0,Wayman Tisdale,24.0,IND,48.0,1326.0,768.0,310.0,75.0,35.0,32.0,0.505,0.0,0.792,3.1,0.113,False
1989.0,Kelly Tripucka,29.0,CHH,71.0,2302.0,1606.0,267.0,224.0,88.0,16.0,0.467,0.357,0.866,3.3,0.069,False
1989.0,Trent Tucker,29.0,NYK,81.0,1824.0,687.0,176.0,132.0,88.0,6.0,0.454,0.399,0.782,4.6,0.122,False
1989.0,Elston Turner,29.0,DEN,78.0,1746.0,337.0,287.0,144.0,90.0,8.0,0.428,0.286,0.589,2.1,0.056,False
1989.0,Kelvin Upshaw,26.0,BOS,23.0,473.0,162.0,36.0,97.0,19.0,3.0,0.49,0.2,0.7,0.4,0.036,False
1989.0,Kiki Vandeweghe,30.0,TOT,45.0,934.0,499.0,71.0,69.0,19.0,11.0,0.469,0.396,0.899,2.0,0.105,False
1989.0,Kiki Vandeweghe,30.0,POR,18.0,432.0,251.0,35.0,34.0,7.0,4.0,0.475,0.421,0.879,1.0,0.112,False
1989.0,Jay Vincent,29.0,TOT,29.0,646.0,249.0,110.0,27.0,6.0,4.0,0.405,0.333,0.667,-0.3,-0.024,False
1989.0,Jay Vincent,29.0,SAS,24.0,551.0,217.0,92.0,22.0,5.0,3.0,0.416,0.0,0.686,-0.2,-0.018,False
1989.0,Sam Vincent,25.0,CHI,70.0,1703.0,656.0,190.0,335.0,53.0,10.0,0.484,0.118,0.822,2.3,0.065,False
1989.0,Darrell Walker,27.0,WSB,79.0,2565.0,714.0,507.0,496.0,155.0,23.0,0.42,0.0,0.772,3.7,0.07,False
1989.0,Dominique Wilkins,29.0,ATL,80.0,2997.0,2099.0,553.0,211.0,117.0,52.0,0.464,0.276,0.844,10.4,0.166,False
1989.0,Gerald Wilkins,25.0,NYK,81.0,2414.0,1161.0,244.0,274.0,115.0,22.0,0.451,0.297,0.756,4.3,0.086,False
1989.0,Buck Williams,28.0,NJN,74.0,2446.0,959.0,696.0,78.0,61.0,36.0,0.531,0.0,0.666,5.2,0.101,False
1989.0,Herb Williams,30.0,TOT,76.0,2470.0,777.0,593.0,124.0,46.0,134.0,0.436,0.0,0.686,1.4,0.027,False
1989.0,Herb Williams,30.0,IND,46.0,1567.0,578.0,396.0,88.0,31.0,80.0,0.45,0.0,0.714,0.9,0.029,False
1989.0,Herb Williams,30.0,DAL,30.0,903.0,199.0,197.0,36.0,15.0,54.0,0.396,0.0,0.632,0.5,0.025,False
1989.0,Hot Rod,26.0,CLE,82.0,2125.0,948.0,477.0,108.0,77.0,134.0,0.509,0.25,0.748,7.7,0.173,False
1989.0,John Williams,22.0,WSB,82.0,2413.0,1120.0,573.0,356.0,142.0,70.0,0.466,0.268,0.776,6.9,0.136,False
1989.0,Reggie Williams,24.0,LAC,63.0,1303.0,642.0,179.0,103.0,81.0,29.0,0.438,0.288,0.754,0.4,0.014,False
1989.0,Randy Wittman,29.0,IND,33.0,704.0,173.0,54.0,79.0,13.0,2.0,0.473,0.5,0.632,0.6,0.038,False
1989.0,Joe Wolf,24.0,LAC,66.0,1450.0,386.0,271.0,113.0,32.0,16.0,0.423,0.143,0.688,-0.5,-0.016,False
1989.0,Mike Woodson,30.0,HOU,81.0,2259.0,1046.0,194.0,206.0,89.0,18.0,0.438,0.348,0.823,3.5,0.074,False
1989.0,Orlando Woolridge,29.0,LAL,74.0,1491.0,715.0,270.0,58.0,30.0,65.0,0.468,0.0,0.738,3.3,0.105,False
1989.0,James Worthy,27.0,LAL,81.0,2960.0,1657.0,489.0,288.0,108.0,56.0,0.548,0.087,0.782,9.7,0.158,False
1990.0,Mark Acres,27.0,ORL,80.0,1691.0,362.0,431.0,67.0,36.0,25.0,0.484,0.75,0.692,1.6,0.047,False
1990.0,Michael Adams,27.0,DEN,79.0,2690.0,1221.0,225.0,495.0,121.0,3.0,0.402,0.366,0.85,6.9,0.124,False
1990.0,Mark Aguirre,30.0,DET,78.0,2005.0,1099.0,305.0,145.0,34.0,19.0,0.488,0.333,0.756,5.7,0.136,False
1990.0,Danny Ainge,30.0,SAC,75.0,2727.0,1342.0,326.0,453.0,113.0,18.0,0.438,0.374,0.831,4.8,0.085,False
