PName,POS,GP,MPG,PTS,AST,REB,FG%,3P%,TOV,STL,BLK,+/-
Kawhi Leonard,SF,52,33.60576923076923,23.826923076923077,3.923076923076923,6.5,51.2,41.6,1.6923076923076923,1.3846153846153846,0.5384615384615384,220
Harrison Barnes,SF,82,32.46341463414634,15.0,1.5609756097560976,4.463414634146342,47.3,37.4,1.048780487804878,0.6951219512195121,0.12195121951219512,255
Tyrese Maxey,PG,60,33.596666666666664,20.3,3.533333333333333,2.933333333333333,48.1,43.4,1.3333333333333333,0.8166666666666667,0.13333333333333333,241
James Harden,SG,58,36.810344827586206,20.96551724137931,10.655172413793103,6.103448275862069,44.1,38.5,3.3620689655172415,1.2241379310344827,0.5344827586206896,277
Immanuel Quickley,SG,81,28.939506172839504,14.925925925925926,3.4444444444444446,4.160493827160494,44.8,37.0,1.2345679012345678,0.9876543209876543,0.1728395061728395,318
Jaden Ivey,PG,74,31.139189189189192,16.27027027027027,5.22972972972973,3.891891891891892,41.6,34.3,3.2027027027027026,0.8243243243243243,0.22972972972972974,-642
Deandre Ayton,C,67,30.377611940298507,17.955223880597014,1.7164179104477613,9.955223880597014,58.9,29.2,1.791044776119403,0.5522388059701493,0.7910447761194029,-7
Scottie Barnes,SF,77,34.774025974025975,15.311688311688311,4.818181818181818,6.64935064935065,45.6,28.1,2.0,1.077922077922078,0.7922077922077922,175
Jaren Jackson Jr.,PF,63,28.373015873015873,18.61904761904762,0.9523809523809523,6.761904761904762,50.6,35.5,1.6984126984126984,1.0317460317460319,3.0,366
Bradley Beal,SG,50,33.458,23.2,5.42,3.92,50.6,36.5,2.9,0.9,0.66,42
Tyrese Haliburton,PG,56,33.62321428571429,20.714285714285715,10.446428571428571,3.6607142857142856,49.0,40.0,2.517857142857143,1.625,0.44642857142857145,-35
Russell Westbrook,PG,73,29.12054794520548,15.876712328767123,7.5479452054794525,5.794520547945205,43.6,31.1,3.493150684931507,1.0410958904109588,0.4520547945205479,-21
Gary Trent Jr.,SG,66,32.09090909090909,17.393939393939394,1.606060606060606,2.621212121212121,43.3,36.9,0.8333333333333334,1.5757575757575757,0.21212121212121213,-52
Trey Murphy III,SG,79,30.9873417721519,14.531645569620252,1.4177215189873418,3.5569620253164556,48.4,40.6,0.7721518987341772,1.1265822784810127,0.5443037974683544,38
P.J. Washington,PF,73,32.5972602739726,15.67123287671233,2.3972602739726026,4.904109589041096,44.4,34.8,1.5068493150684932,0.9041095890410958,1.082191780821918,-375
Kevin Huerter,SG,75,29.37066666666667,15.2,2.9466666666666668,3.3466666666666667,48.5,40.2,1.2933333333333332,1.0666666666666667,0.32,222
Kevin Porter Jr.,SG,59,34.30338983050848,19.152542372881356,5.728813559322034,5.322033898305085,44.2,36.6,3.1864406779661016,1.3898305084745763,0.288135593220339,-343
O.G. Anunoby,SF,67,35.60746268656716,16.776119402985074,1.955223880597015,4.955223880597015,47.6,38.7,1.9701492537313432,1.9104477611940298,0.746268656716418,132
Jonas Valanciunas,C,79,24.91392405063291,14.113924050632912,1.7721518987341771,10.177215189873417,54.7,34.9,2.0126582278481013,0.25316455696202533,0.6582278481012658,-10
Christian Wood,F,67,25.94626865671642,16.62686567164179,1.8059701492537314,7.3283582089552235,51.5,37.6,1.8059701492537314,0.44776119402985076,1.0746268656716418,-46
Myles Turner,C,62,29.438709677419357,17.951612903225808,1.435483870967742,7.516129032258065,54.8,37.3,1.6612903225806452,0.5806451612903226,2.2580645161290325,-47
Brandon Ingram,SF,45,34.18,24.711111111111112,5.822222222222222,5.466666666666667,48.4,39.0,3.2888888888888888,0.7111111111111111,0.4222222222222222,96
Aaron Gordon,PF,68,30.22205882352941,16.308823529411764,2.985294117647059,6.5588235294117645,56.4,34.7,1.4411764705882353,0.7941176470588235,0.75,518
Alperen Sengun,C,75,28.942666666666664,14.786666666666667,3.88,9.04,55.3,33.3,2.5733333333333333,0.9333333333333333,0.9333333333333333,-283
Tobias Harris,PF,74,32.917567567567566,14.662162162162161,2.5135135135135136,5.72972972972973,50.1,38.9,1.2027027027027026,0.918918918918919,0.5405405405405406,296
Michael Porter Jr.,SF,62,28.998387096774195,17.419354838709676,1.0483870967741935,5.5,48.7,41.4,1.096774193548387,0.5967741935483871,0.46774193548387094,418
